unix timestamp;doserate (uSv/h);lat;lng;wgs84_alt (m.);speed (m/s);cps;cp_2s;horizontal accuracy (radius of 68% confidence [m]);marker type (2-circle, 1-marker);SE (1 σ)[%]
1752939871;0.01452;45.331386566;37.263229370;-4.400000095;1.006281972;1.38791;2.50000;2.0000;2;11.5
1752939873;0.01404;45.331382751;37.263195038;-4.800000191;0.974883914;1.34227;0.50000;2.1000;2;11.5
1752939877;0.01433;45.331382751;37.263126373;-5.599999905;0.942456365;1.36995;2.50000;2.1000;2;11.5
1752939881;0.01394;45.331378937;37.263061523;-6.800000191;0.995987475;1.33311;0.50000;2.2000;2;11.5
1752939883;0.01376;45.331375122;37.263034821;-7.599999905;0.978486955;1.31569;1.50000;2.1000;2;11.5
1752939885;0.01381;45.331375122;37.263004303;-8.100000381;0.945544720;1.32053;1.50000;2.1000;2;11.5
1752939887;0.01395;45.331371307;37.262969971;-8.399999619;0.925985277;1.33347;0.50000;2.1000;2;11.5
1752939893;0.01341;45.331359863;37.262855530;-8.899999619;1.002678871;1.28167;1.50000;2.2000;2;11.5
1752939895;0.01349;45.331356049;37.262809753;-8.699999809;1.071136951;1.29014;1.00000;2.1000;2;11.5
1752939897;0.01372;45.331352234;37.262760162;-8.100000381;1.096873045;1.31137;2.00000;2.1000;2;11.5
1752939899;0.01449;45.331356049;37.262722015;-7.300000191;1.071136951;1.38496;2.50000;2.1000;2;11.5
1752939901;0.01511;45.331359863;37.262687683;-6.000000000;1.122609138;1.44435;2.50000;2.1000;2;11.5
1752939903;0.01555;45.331363678;37.262645721;-5.199999809;1.185920000;1.48652;3.00000;2.2000;2;11.5
1752939907;0.01527;45.331348419;37.262599945;-5.900000095;1.074225307;1.46029;1.00000;2.2000;2;11.5
1752939909;0.01504;45.331333160;37.262573242;-6.400000095;1.057239413;1.43845;1.00000;2.2000;2;11.5
1752939911;0.01479;45.331317902;37.262542725;-6.199999809;1.026870847;1.41362;1.50000;2.2000;2;11.5
1752939913;0.01469;45.331306458;37.262500763;-5.300000191;0.991869748;1.40426;2.50000;2.2000;2;11.5
1752939915;0.01457;45.331306458;37.262454987;-4.400000095;1.045915604;1.39333;2.00000;2.2000;2;11.5
1752939917;0.01479;45.331306458;37.262416840;-3.799999952;1.061871886;1.41362;2.50000;2.1000;2;11.5
1752939919;0.01463;45.331306458;37.262367249;-3.200000048;1.067019224;1.39879;1.00000;2.1000;2;11.5
1752939921;0.01537;45.331298828;37.262313843;-2.299999952;1.130844712;1.46985;3.00000;2.1000;2;11.5
1752939923;0.01502;45.331295013;37.262264252;-0.699999988;1.133933067;1.43585;0.50000;2.1000;2;11.5
1752939925;0.01486;45.331298828;37.262214661;0.800000012;1.179743290;1.42083;2.50000;2.1000;2;11.5
1752939927;0.01551;45.331298828;37.262184143;1.399999976;1.233789206;1.48333;2.00000;2.2000;2;11.5
1752939929;0.01883;45.331302643;37.262157440;1.500000000;1.218862176;1.80029;6.50000;2.1000;2;11.5
1752939931;0.01985;45.331298828;37.262115479;1.600000024;1.217832804;1.89829;2.00000;2.1000;2;11.5
1752939933;0.02041;45.331295013;37.262088776;1.700000048;1.175110817;1.95153;2.50000;2.1000;2;11.5
1752939935;0.02071;45.331298828;37.262050629;1.299999952;1.154007196;1.98057;4.50000;2.2000;2;11.5
1752939937;0.02061;45.331298828;37.262023926;1.299999952;1.166360497;1.97059;1.50000;2.2000;2;11.5
1752939939;0.02061;45.331291199;37.261989594;1.100000024;1.191581964;1.97059;1.00000;2.2000;2;11.5
1752939941;0.02065;45.331295013;37.261955261;0.200000003;1.123638630;1.97411;2.00000;2.1000;2;11.5
1752939943;0.02271;45.331295013;37.261920929;-0.699999988;1.198788047;2.17161;3.50000;2.0000;2;11.5
1752939947;0.02472;45.331295013;37.261856079;-0.899999976;1.131359458;2.36365;4.00000;2.0000;2;11.5
1752939949;0.02511;45.331295013;37.261817932;-0.899999976;1.239965796;2.40079;1.50000;2.0000;2;11.5
1752939951;0.02675;45.331295013;37.261783600;-1.100000024;1.269304991;2.55727;2.50000;2.0000;2;11.5
1752939953;0.02609;45.331295013;37.261749268;-1.399999976;1.225038886;2.49495;2.50000;2.0000;2;11.5
1752939955;0.02594;45.331291199;37.261714935;-1.500000000;1.281658292;2.48053;1.50000;2.0000;2;11.5
1752939957;0.02486;45.331287384;37.261684418;-1.299999952;1.197758555;2.37719;3.50000;2.1000;2;11.5
